grib_message,start_byte,end_byte,range,reference_time,valid_time,variable,level,forecast_time,?,??,???,search_this
60,55037779,55506270.0,55037779-55506270,2026-05-17 06:00:00,2026-05-18 06:00:00,FICEAC,surface,18-24 hour acc fcst,prob >2.54,prob fcst 255/255,,:FICEAC:surface:18-24 hour acc fcst:prob >2.54:prob fcst 255/255:
61,55506271,55974649.0,55506271-55974649,2026-05-17 06:00:00,2026-05-18 06:00:00,FICEAC,surface,18-24 hour acc fcst,prob >6.35,prob fcst 255/255,,:FICEAC:surface:18-24 hour acc fcst:prob >6.35:prob fcst 255/255:
62,55974650,56443028.0,55974650-56443028,2026-05-17 06:00:00,2026-05-18 06:00:00,FICEAC,surface,18-24 hour acc fcst,prob >12.7,prob fcst 255/255,,:FICEAC:surface:18-24 hour acc fcst:prob >12.7:prob fcst 255/255:
63,56443029,56911407.0,56443029-56911407,2026-05-17 06:00:00,2026-05-18 06:00:00,FICEAC,surface,18-24 hour acc fcst,prob >25.4,prob fcst 255/255,,:FICEAC:surface:18-24 hour acc fcst:prob >25.4:prob fcst 255/255:
64,56911408,57556720.0,56911408-57556720,2026-05-17 06:00:00,2026-05-18 06:00:00,TURB,surface - 1372 m above ground,24 hour fcst,,,,:TURB:surface - 1372 m above ground:24 hour fcst:
65,57556721,58197213.0,57556721-58197213,2026-05-17 06:00:00,2026-05-18 06:00:00,WDIR,surface - 610 m above ground,24 hour fcst,,,,:WDIR:surface - 610 m above ground:24 hour fcst:
66,58197214,58868284.0,58197214-58868284,2026-05-17 06:00:00,2026-05-18 06:00:00,DIST,surface - 610 m above ground,24 hour fcst,,,,:DIST:surface - 610 m above ground:24 hour fcst:
67,58868285,59577489.0,58868285-59577489,2026-05-17 06:00:00,2026-05-18 06:00:00,WIND,surface - 610 m above ground,24 hour fcst,,,,:WIND:surface - 610 m above ground:24 hour fcst:
68,59577490,61730638.0,59577490-61730638,2026-05-17 06:00:00,2026-05-18 06:00:00,FOSINDX,surface,18-24 hour max fcst,,,,:FOSINDX:surface:18-24 hour max fcst:
69,61730639,63281935.0,61730639-63281935,2026-05-17 06:00:00,2026-05-18 06:00:00,MAXREF,1000 m above ground,23-24 hour max fcst,,,,:MAXREF:1000 m above ground:23-24 hour max fcst:
70,63281936,64847559.0,63281936-64847559,2026-05-17 06:00:00,2026-05-18 06:00:00,MINRH,2 m above ground,12-24 hour min fcst,,,,:MINRH:2 m above ground:12-24 hour min fcst:
71,64847560,66841152.0,64847560-66841152,2026-05-17 06:00:00,2026-05-18 06:00:00,MIXHT,entire atmosphere (considered as a single layer),24 hour fcst,,,,:MIXHT:entire atmosphere (considered as a single layer):24 hour fcst:
72,66841153,68438926.0,66841153-68438926,2026-05-17 06:00:00,2026-05-18 06:00:00,CAPE,surface,24 hour fcst,10% level,,,:CAPE:surface:24 hour fcst:10% level:
73,68438927,70393086.0,68438927-70393086,2026-05-17 06:00:00,2026-05-18 06:00:00,CAPE,surface,24 hour fcst,50% level,,,:CAPE:surface:24 hour fcst:50% level:
74,70393087,72663209.0,70393087-72663209,2026-05-17 06:00:00,2026-05-18 06:00:00,CAPE,surface,24 hour fcst,90% level,,,:CAPE:surface:24 hour fcst:90% level:
75,72663210,73531115.0,72663210-73531115,2026-05-17 06:00:00,2026-05-18 06:00:00,APCP,surface,23-24 hour acc fcst,prob >0.254,prob fcst 255/255,,:APCP:surface:23-24 hour acc fcst:prob >0.254:prob fcst 255/255:
76,73531116,74509541.0,73531116-74509541,2026-05-17 06:00:00,2026-05-18 06:00:00,APCP,surface,18-24 hour acc fcst,prob >0.254,prob fcst 255/255,,:APCP:surface:18-24 hour acc fcst:prob >0.254:prob fcst 255/255:
77,74509542,75505968.0,74509542-75505968,2026-05-17 06:00:00,2026-05-18 06:00:00,APCP,surface,12-24 hour acc fcst,prob >0.254,prob fcst 255/255,,:APCP:surface:12-24 hour acc fcst:prob >0.254:prob fcst 255/255:
78,75505969,76077021.0,75505969-76077021,2026-05-17 06:00:00,2026-05-18 06:00:00,PWTHER,surface - reserved,24 hour fcst,,,,:PWTHER:surface - reserved:24 hour fcst:
79,76077022,76581228.0,76077022-76581228,2026-05-17 06:00:00,2026-05-18 06:00:00,PTYPE,surface,24 hour fcst,prob >=3 <4,prob fcst 1/1,,:PTYPE:surface:24 hour fcst:prob >=3 <4:prob fcst 1/1:
80,76581229,79270423.0,76581229-79270423,2026-05-17 06:00:00,2026-05-18 06:00:00,PTYPE,surface,24 hour fcst,prob >=1 <2,prob fcst 1/1,,:PTYPE:surface:24 hour fcst:prob >=1 <2:prob fcst 1/1:
81,79270424,79745359.0,79270424-79745359,2026-05-17 06:00:00,2026-05-18 06:00:00,PTYPE,surface,24 hour fcst,prob >=8 <9,prob fcst 1/1,,:PTYPE:surface:24 hour fcst:prob >=8 <9:prob fcst 1/1:
82,79745360,80698759.0,79745360-80698759,2026-05-17 06:00:00,2026-05-18 06:00:00,PTYPE,surface,24 hour fcst,prob >=5 <7,prob fcst 1/1,,:PTYPE:surface:24 hour fcst:prob >=5 <7:prob fcst 1/1:
83,80698760,81286079.0,80698760-81286079,2026-05-17 06:00:00,2026-05-18 06:00:00,TSTM,surface,23-24 hour acc fcst,probability forecast,,,:TSTM:surface:23-24 hour acc fcst:probability forecast:
84,81286080,81993929.0,81286080-81993929,2026-05-17 06:00:00,2026-05-18 06:00:00,TSTM,surface,21-24 hour acc fcst,probability forecast,,,:TSTM:surface:21-24 hour acc fcst:probability forecast:
85,81993930,82762917.0,81993930-82762917,2026-05-17 06:00:00,2026-05-18 06:00:00,TSTM,surface,18-24 hour acc fcst,probability forecast,,,:TSTM:surface:18-24 hour acc fcst:probability forecast:
86,82762918,83562891.0,82762918-83562891,2026-05-17 06:00:00,2026-05-18 06:00:00,TSTM,surface,12-24 hour acc fcst,probability forecast,,,:TSTM:surface:12-24 hour acc fcst:probability forecast:
