5/17,None,96,88,71,<71
5/18,None,96,88,71,<71
5/19,None,96,88,71,<71
5/20,None,96,88,71,<71
5/21,None,96,88,71,<71
5/22,None,96,88,71,<71
5/23,None,96,88,71,<71
5/24,None,96,88,71,<71
5/25,None,96,88,71,<71
5/26,None,96,88,71,<71
5/27,None,96,88,71,<71
5/28,None,96,88,71,<71
5/29,None,96,88,71,<71
5/30,None,96,88,71,<71
5/31,None,96,88,71,<71
6/1,None,96,88,71,<71
6/2,None,96,88,71,<71
6/3,None,96,88,71,<71
6/4,None,96,88,71,<71
6/5,None,96,89,71,<71
6/6,None,96,89,71,<71
6/7,None,96,89,71,<71
6/8,None,96,89,71,<71
6/9,None,96,89,71,<71
6/10,None,96,89,71,<71
6/11,None,96,90,71,<71
6/12,None,96,90,71,<71
6/13,None,96,90,71,<71
6/14,None,96,90,71,<71
6/15,None,96,90,71,<71
6/16,None,96,91,71,<71
6/17,None,96,91,71,<71
6/18,None,96,91,71,<71
6/19,None,96,91,71,<71
6/20,None,97,92,71,<71
6/21,None,97,92,71,<71
6/22,None,97,92,71,<71
6/23,None,97,93,71,<71
6/24,None,98,93,71,<71
6/25,None,98,93,71,<71
6/26,None,98,94,71,<71
6/27,None,98,94,71,<71
6/28,None,98,94,71,<71
6/29,None,99,95,71,<71
6/30,None,99,95,71,<71
7/1,None,99,95,71,<71
7/2,None,99,95,71,<71
7/3,None,99,95,71,<71
7/4,None,99,96,71,<71
7/5,None,100,96,71,<71
7/6,None,100,96,71,<71
7/7,None,100,96,71,<71
7/8,None,100,96,71,<71
7/9,None,100,96,71,<71
7/10,None,100,96,71,<71
7/11,None,100,96,71,<71
7/12,None,100,96,71,<71
7/13,None,100,96,71,<71
7/14,None,101,96,71,<71
7/15,None,101,96,71,<71
7/16,None,101,96,71,<71
7/17,None,101,96,71,<71
7/18,None,101,96,71,<71
7/19,None,101,96,71,<71
7/20,None,101,96,71,<71
7/21,None,101,96,71,<71
7/22,None,101,96,71,<71
7/23,None,101,96,71,<71
7/24,None,101,96,71,<71
7/25,None,101,96,71,<71
7/26,None,101,96,71,<71
7/27,None,101,96,71,<71
7/28,None,101,96,71,<71
7/29,None,101,96,71,<71
7/30,None,101,96,71,<71
7/31,None,101,96,71,<71
8/1,None,101,96,71,<71
8/2,None,101,96,71,<71
8/3,None,100,96,71,<71
8/4,None,100,96,71,<71
8/5,None,100,96,71,<71
8/6,None,100,96,71,<71
8/7,None,100,96,71,<71
8/8,None,100,96,71,<71
8/9,None,100,96,71,<71
8/10,None,100,96,71,<71
8/11,None,100,96,71,<71
8/12,None,99,96,71,<71
8/13,None,99,96,71,<71
8/14,None,99,96,71,<71
8/15,None,99,96,71,<71
8/16,None,99,96,71,<71
8/17,None,99,96,71,<71
8/18,None,99,96,71,<71
8/19,None,99,96,71,<71
8/20,None,98,96,71,<71
8/21,None,98,96,71,<71
8/22,None,98,96,71,<71
8/23,None,98,96,71,<71
8/24,None,98,96,71,<71
8/25,None,98,95,71,<71
8/26,None,97,95,71,<71
8/27,None,97,95,71,<71
8/28,None,97,95,71,<71
8/29,None,97,95,71,<71
8/30,None,97,94,71,<71
8/31,None,97,94,71,<71
9/1,None,96,94,71,<71
9/2,None,96,94,71,<71
9/3,None,96,93,71,<71
